x;f(x)_inf;f(x)_sup;g(x)_inf;g(x)_sup
-2;1.08653;1.35076;0.37666;0.858299
-1.75;1.09224;1.3899;0.353033;0.889525
-1.5;1.09752;1.43548;0.324158;0.926469
-1.25;1.10096;1.48605;0.288918;0.968926
-1;1.09924;1.53393;0.247247;1.01319
-0.75;1.08465;1.55456;0.204443;1.04536
-0.5;1.04083;1.49071;0.184456;1.0305
-0.25;0.942809;1.27475;0.231754;0.922593
0;0.666667;1.06066;-nan(ind);-nan(ind)
0.25;0.288675;0.942809;-nan(ind);-nan(ind)
0.5;0;0.866025;-nan(ind);-nan(ind)
0.75;0.204124;0.840168;-nan(ind);-nan(ind)
1;0.348155;0.841625;-nan(ind);-nan(ind)
1.25;0.452267;0.852803;-nan(ind);-nan(ind)
1.5;0.529813;0.866025;-nan(ind);-nan(ind)
1.75;0.589256;0.878595;-nan(ind);-nan(ind)
2;0.635999;0.889757;0.106817;0.851411
